";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-05 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;1.41;88.6;2.97
"2022-01-05 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;2.11;88.65;3.1
"2022-01-05 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;2.2;85.35;2.48
"2022-01-05 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;2.16;92.1;1.66
"2022-01-05 07:00:00;;;;;;;";0.0;0;29.0;0.0;29.0;2.16;92.1;1.52
"2022-01-05 08:00:00;;;;;;;";0.0;0;21.0;0.0;21.0;4.0;85.5;2.34
"2022-01-05 09:00:00;;;;;;;";0.0;0;32.0;0.0;32.0;3.78;92.2;3.24
"2022-01-05 10:00:00;;;;;;;";0.0;0;80.0;0.0;80.0;2.41;95.7;2.9
"2022-01-05 11:00:00;;;;;;;";0.0;0;71.0;0.0;71.0;1.86;95.65;3.72
"2022-01-05 12:00:00;;;;;;;";0.0;0;40.0;0.0;40.0;1.66;99.4;4.9
"2022-01-05 13:00:00;;;;;;;";0.0;0;49.0;0.0;49.0;1.69;95.65;5.93
"2022-01-05 14:00:00;;;;;;;";0.0;0;49.0;0.0;49.0;1.98;95.65;5.38
"2022-01-05 15:00:00;;;;;;;";0.0;0;6.0;0.0;6.0;1.93;95.65;7.52
"2022-01-05 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;1.76;95.65;7.38
"2022-01-05 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;1.54;92.05;7.03
"2022-01-05 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;1.29;85.25;6.9
"2022-01-05 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.94;85.2;5.79
"2022-01-05 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.31;85.15;5.38
"2022-01-05 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;0.35;85.15;5.31
"2022-01-05 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-0.09;81.8;5.72
"2022-01-05 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-0.46;81.75;5.59
"2022-01-06 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-0.96;78.5;5.59
"2022-01-06 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.76;81.65;5.86
"2022-01-06 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.23;88.3;6.9
"2022-01-06 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.63;88.25;6.41
"2022-01-06 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.94;88.25;6.28
"2022-01-06 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.88;88.25;6.55
"2022-01-06 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.77;88.25;7.17
"2022-01-06 07:00:00;;;;;;;";0.0;0;15.0;0.0;15.0;-2.88;88.25;6.69
