";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-09 11:00:00;;;;;;;";0.0;0;515.0;821.76;103.0;13.33;51.75;2.41
"2022-01-09 12:00:00;;;;;;;";0.0;0;496.0;832.7;95.0;13.65;51.9;2.41
"2022-01-09 13:00:00;;;;;;;";0.0;0;413.0;786.47;88.0;13.77;51.9;2.14
"2022-01-09 14:00:00;;;;;;;";0.0;0;278.0;671.03;76.0;13.75;51.9;1.86
"2022-01-09 15:00:00;;;;;;;";0.0;0;104.0;314.56;56.0;13.46;53.85;1.66
"2022-01-09 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.65;62.2;1.93
"2022-01-09 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.71;66.75;2.07
"2022-01-09 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.94;71.75;2.0
"2022-01-09 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.99;71.75;0.55
"2022-01-09 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.4;74.3;0.55
"2022-01-09 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.67;77.0;0.69
"2022-01-09 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.86;79.75;0.83
"2022-01-09 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.92;82.7;0.97
"2022-01-10 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.23;82.65;1.03
"2022-01-10 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.67;85.75;1.03
"2022-01-10 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.01;85.7;1.17
"2022-01-10 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.52;88.9;1.38
"2022-01-10 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.25;92.25;1.52
"2022-01-10 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.24;88.85;1.66
"2022-01-10 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;5.19;88.85;1.59
"2022-01-10 07:00:00;;;;;;;";0.0;0;87.0;420.72;37.0;5.32;88.85;1.66
"2022-01-10 08:00:00;;;;;;;";0.0;0;255.0;678.95;69.0;7.62;82.7;1.24
"2022-01-10 09:00:00;;;;;;;";0.0;0;397.0;782.73;88.0;11.24;71.75;1.1
"2022-01-10 10:00:00;;;;;;;";0.0;0;494.0;845.53;94.0;12.44;66.85;0.9
"2022-01-10 11:00:00;;;;;;;";0.0;0;531.0;863.92;96.0;13.09;62.3;0.55
"2022-01-10 12:00:00;;;;;;;";0.0;0;512.0;873.91;89.0;13.52;58.0;0.41
"2022-01-10 13:00:00;;;;;;;";0.0;0;420.0;795.78;89.0;13.74;58.0;0.48
"2022-01-10 14:00:00;;;;;;;";0.0;0;286.0;694.33;75.0;13.73;58.0;0.76
"2022-01-10 15:00:00;;;;;;;";0.0;0;123.0;501.57;45.0;13.42;60.05;1.03
"2022-01-10 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.56;64.55;1.52
"2022-01-10 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.27;71.75;1.66
"2022-01-10 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.85;79.9;1.52
"2022-01-10 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.97;79.85;1.86
"2022-01-10 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.12;85.85;1.86
"2022-01-10 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.5;85.85;1.79
"2022-01-10 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.96;85.8;1.86
"2022-01-10 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.59;89.0;1.93
"2022-01-11 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.58;85.75;1.93
"2022-01-11 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.41;85.75;1.93
"2022-01-11 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.24;88.95;2.0
"2022-01-11 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.11;88.95;1.93
"2022-01-11 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.05;88.95;2.07
"2022-01-11 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.04;88.95;2.28
"2022-01-11 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.08;92.3;2.41
"2022-01-11 07:00:00;;;;;;;";0.0;0;84.0;367.81;40.0;6.54;92.35;2.62
"2022-01-11 08:00:00;;;;;;;";0.0;0;251.0;650.69;72.0;8.09;89.05;2.28
"2022-01-11 09:00:00;;;;;;;";0.0;0;392.0;762.05;90.0;10.77;80.05;2.14
"2022-01-11 10:00:00;;;;;;;";0.0;0;489.0;825.3;97.0;12.28;71.95;2.28
"2022-01-11 11:00:00;;;;;;;";0.0;0;523.0;830.4;103.0;13.16;62.3;2.21
"2022-01-11 12:00:00;;;;;;;";0.0;0;494.0;795.32;107.0;13.62;58.0;1.79
"2022-01-11 13:00:00;;;;;;;";0.0;0;424.0;807.18;86.0;13.85;55.9;1.38
"2022-01-11 14:00:00;;;;;;;";0.0;0;286.0;684.41;76.0;13.85;53.85;1.1
"2022-01-11 15:00:00;;;;;;;";0.0;0;117.0;403.79;53.0;13.5;55.9;1.03
"2022-01-11 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;12.73;64.55;1.38
"2022-01-11 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.13;77.2;1.03
"2022-01-11 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;11.5;66.75;0.55
"2022-01-11 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;10.83;71.7;0.9
"2022-01-11 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;9.76;77.0;1.03
"2022-01-11 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.69;82.75;1.17
"2022-01-11 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;8.06;85.85;1.17
"2022-01-11 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.43;82.7;1.38
"2022-01-12 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;7.0;85.8;1.66
"2022-01-12 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.88;85.75;1.86
"2022-01-12 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.98;82.65;1.93
"2022-01-12 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;6.7;85.75;1.86
